Year,RM,Crop,Yield
1995,1,Winter Wheat,32.9
1996,1,Winter Wheat,35.1
1997,1,Winter Wheat,37.1
1998,1,Winter Wheat,31.9
1999,1,Winter Wheat,40.0
2000,1,Winter Wheat,66.7
2001,1,Winter Wheat,36.0
2002,1,Winter Wheat,26.6
2003,1,Winter Wheat,31.9
2004,1,Winter Wheat,53.1
2005,1,Winter Wheat,36.7
2006,1,Winter Wheat,43.2
2007,1,Winter Wheat,41.9
2008,1,Winter Wheat,37.5
2009,1,Winter Wheat,43.2
2010,1,Winter Wheat,56.8
2011,1,Winter Wheat,30.6
2012,1,Winter Wheat,54.0
2013,1,Winter Wheat,47.1
2014,1,Winter Wheat,43.3
2015,1,Winter Wheat,47.48
2016,1,Winter Wheat,60.6
2017,1,Winter Wheat,54.06
1992,2,Winter Wheat,30.0
1993,2,Winter Wheat,35.0
1994,2,Winter Wheat,25.0
1995,2,Winter Wheat,25.0
1996,2,Winter Wheat,25.0
1997,2,Winter Wheat,22.5
1998,2,Winter Wheat,35.5
1999,2,Winter Wheat,30.0
2000,2,Winter Wheat,49.9
2001,2,Winter Wheat,31.8
2002,2,Winter Wheat,27.9
2003,2,Winter Wheat,40.6
2004,2,Winter Wheat,37.5
2005,2,Winter Wheat,26.5
2006,2,Winter Wheat,49.9
2007,2,Winter Wheat,53.5
2008,2,Winter Wheat,33.2
2009,2,Winter Wheat,46.7
2010,2,Winter Wheat,46.5
2011,2,Winter Wheat,35.7
2012,2,Winter Wheat,51.6
2013,2,Winter Wheat,40.4
2014,2,Winter Wheat,41.62
2015,2,Winter Wheat,59.28
2016,2,Winter Wheat,54.4
2017,2,Winter Wheat,51.35
2020,2,Winter Wheat,45.0
2021,2,Winter Wheat,20.0
2022,2,Winter Wheat,30.0
1996,3,Winter Wheat,37.0
1999,3,Winter Wheat,50.0
2000,3,Winter Wheat,58.2
2001,3,Winter Wheat,31.3
2002,3,Winter Wheat,30.0
2003,3,Winter Wheat,48.1
2004,3,Winter Wheat,36.2
2005,3,Winter Wheat,26.7
2006,3,Winter Wheat,41.9
2007,3,Winter Wheat,42.5
2008,3,Winter Wheat,36.1
2009,3,Winter Wheat,40.0
2010,3,Winter Wheat,52.3
